,title,url,date,source
53,广州市防控新型冠状病毒感染的肺炎疫情工作领导小组防治组关于做好托育机构新型冠状病毒感染的肺炎疫情防控工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5667238.html,2/18/2020,广州市卫生健康委员会
51,广州市防控新型冠状病毒感染的肺炎疫情工作领导小组防治组转发公共交通工具消毒操作技术指南的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5667240.html,2/18/2020,广州市卫生健康委员会
52,广州市卫生健康委员会关于部分消毒剂在新型冠状病毒感染的肺炎疫情防控期间紧急上市的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5667248.html,2/18/2020,广州市卫生健康委员会
60,广州市卫生健康委办公室转发广东省卫生健康委办公室关于加强新冠肺炎疫情防控期间孕产妇和新生儿防护管理工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5667252.html,2/18/2020,广州市卫生健康委员会
54,广州市历史文化名城保护办公室关于做好疫情防控支持企业稳定发展若干措施的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5673740.html,2/20/2020,广州市规划和自然资源局
57,广州市规划和自然资源局关于做好疫情防控期间相关审批服务工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5673741.html,2/20/2020,广州市规划和自然资源局
40,广州市工业和信息化局关于延长2020年市中小企业公共服务示范平台和中小企业服务站申报时间的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5672791.html,2/21/2020,广州市工业和信息化局
42,广州市防控新型冠状病毒肺炎疫情工作指挥部办公室关于印发推动餐饮业有序复工复业指引（试行）的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5673222.html,2/21/2020,广州市防控新型冠状病毒肺炎疫情工作指挥部办公室
44,广州市住房和城乡建设局关于加强写字楼和产业园区新冠肺炎疫情防控工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5674430.html,2/21/2020,广州市住房和城乡建设局
37,广州市住房和城乡建设局关于疫情期间加强在建房建工程实名制管理工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5672847.html,2/21/2020,广州市住房和城乡建设局
38,广州市财政局关于疫情防控期间开展政府采购活动有关事项的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5672828.html,2/21/2020,广州市财政局
39,关于延长广州市非营利组织免税资格申请期限的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5672823.html,2/21/2020,广州市财政局
43,广州市新型冠状病毒肺炎疫情防控指挥部关于启用“穗康码”加强居住小区（村） 管理工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5673587.html,2/23/2020,广州市新型冠状病毒肺炎疫情防控指挥部
64,广州市住房和城乡建设局关于推广小区快递外卖无接触投送示范点的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5679106.html,2/25/2020,广州市住房和城乡建设局
45,关于依法科学精准做好新冠肺炎疫情防控工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5680238.html,2/27/2020,国家卫生健康委员会网站
55,广州市工业和信息化局关于发布广州市助疫情防控和复工复产相关软件与信息服务产品（第二批）的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5684354.html,2/28/2020,广州市工业和信息化局
47,广州市卫生健康委员会关于印发广州市医疗机构营养科和营养食堂防控新冠肺炎的指导建议等四个建议的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5681758.html,2/28/2020,广州市卫生健康委员会
31,广州市财政局转发财政部关于做好新冠肺炎疫情防控资产保障工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5681983.html,2/28/2020,广州市财政局
36,广州市防控新型冠状病毒感染的肺炎疫情工作领导小组防治组关于转发《孕产妇和新生儿新型冠状病毒感染的肺炎防控指引》和《儿童新型冠状病毒感染的肺炎防控指引》的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5681716.html,2/28/2020,广州市卫生健康委员会
35,广州市卫生健康委关于做好省管权限医疗机构内护士执业证书核发护士注册工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5681611.html,2/28/2020,广州市卫生健康委员会
34,广州市防控新冠肺炎疫情工作领导小组防治组关于印发《新冠肺炎期间居家隔离人员心理健康指引》等5个指引的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5681640.html,2/28/2020,广州市卫生健康委员会
33,广州市防控新型冠状病毒肺炎疫情工作领导小组防治组转发关于进一步做好新冠肺炎疫情期间医疗机构感染预防与控制工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5681614.html,2/28/2020,广州市卫生健康委员会
32,广州市防控新冠肺炎疫情工作领导小组防治组关于印发《广州市企事业单位复工后防控新冠肺炎疫情工作指引（第二版）》的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5681658.html,2/28/2020,广州市卫生健康委员会
30,广州市新型冠状病毒肺炎疫情防控指挥部关于继续推行“穗康码”加强社区和农村疫情防控工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5681113.html,2/28/2020,市政府办公厅
41,广州市住房和城乡建设局关于实施诚信激励机制支持建筑工地加快复工复产的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5684275.html,3/2/2020,广州市住房和城乡建设局
24,广州市住房和城乡建设局关于印发新冠肺炎防疫期间加强物业小区管理的工作指引（第二版）的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5685775.html,3/3/2020,广州市住房和城乡建设局
48,广州市新型冠状病毒肺炎疫情防控指挥部关于进一步加强疫情防控工作的通告（第4号）,http://www.gz.gov.cn/xw/tzgg/content/post_5684531.html,3/3/2020,广州市新型冠状病毒肺炎疫情防控指挥部
25,关于开展我市工业和信息化企业复工复产情况调查的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5725945.html,3/6/2020,广州市工业和信息化局
27,广州市规划和自然资源局关于进一步做好疫情防控期间规划和自然资源保障服务工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5728938.html,3/6/2020,广州市规划和自然资源局
29,广州市规划和自然资源局关于免收企业间 转移登记不动产登记费和证书工本费的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5750773.html,3/12/2020,广州市规划和自然资源局
46,广州市卫生健康委 广州市红十字会转发关于做好新冠肺炎康复者捐献恢复期血浆招募动员服务工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5729661.html,3/13/2020,广州市卫生健康委员会
17,广州市新冠肺炎防控指挥办医疗防治组关于转发《广东省养老服务机构复工复产新冠肺炎疫情防控工作指引（第二版）》和《广东省儿童福利机构复工复产新冠肺炎疫情防控工作指引》的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5730372.html,3/13/2020,广州市卫生健康委员会
18,广州市卫生健康委员会关于印发医疗机构烧伤科防控新冠肺炎指导建议的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5730384.html,3/13/2020,广州市卫生健康委员会
21,广州市医疗保障局关于转发积极做好新冠肺炎疫情防控医疗服务价格管理工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5734129.html,3/16/2020,广州市医疗保障局
19,广州市财政局关于新冠肺炎疫情防控期间市属行政事业单位物业减免租金的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5734052.html,3/16/2020,广州市财政局
28,广州空港经济区管理委员会关于发布《广州空港经济区应对新型冠状病毒肺炎疫情支持企业复工复产的若干政策措施 的实施操作指引》的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5734460.html,3/17/2020,广州空港经济区管理委员会
22,广州市新型冠状病毒肺炎疫情防控指挥部办公室关于运用“穗康码”分色标记功能加强疫情防控工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5736788.html,3/18/2020,广州市新型冠状病毒肺炎疫情防控指挥部办公室
20,广州市新型冠状病毒肺炎疫情防控指挥部关于疫情期间暂停清明祭扫活动的通告（第5号）,http://www.gz.gov.cn/xw/tzgg/content/post_5737555.html,3/19/2020,广州市新型冠状病毒肺炎疫情防控指挥部
23,广州市住房和城乡建设局关于印发广州市房屋建筑工地防控新冠肺炎疫情应急处置预案的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5738833.html,3/20/2020,广州市住房和城乡建设局
26,广州市住房和城乡建设局关于进一步加强新冠肺炎防疫期间房屋建筑项目施工现场管理的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5739838.html,3/20/2020,广州市住房和城乡建设局
61,广州市新型冠状病毒肺炎疫情防控指挥部关于继续做好疫情防控工作的通告（第6号）,http://www.gz.gov.cn/xw/tzgg/content/post_5740076.html,3/22/2020,广州市新型冠状病毒肺炎疫情防控指挥部
12,广州市新型冠状病毒肺炎疫情防控指挥部关于加强境外疫情输入防控的通告（第7号）,http://www.gz.gov.cn/xw/tzgg/content/post_5740093.html,3/22/2020,广州市新型冠状病毒肺炎疫情防控指挥部
13,关于深入开展爱国卫生运动推动形成文明健康、绿色环保生活方式的倡议书,http://www.gz.gov.cn/xw/tzgg/content/post_5739980.html,3/23/2020,广州市卫生健康委员会
11,广州市工业和信息化局关于组织2020年中小微企业租金减免奖励资金申报的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5750005.html,3/24/2020,广州市工业和信息化局
14,广州市组织疫情防控重点保障企业人民银行专项再贷款贴息申报的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5743803.html,3/25/2020,广州市财政局
16,广州市新型冠状病毒肺炎疫情防控指挥部关于进一步加强境外疫情输入防控的通告　（第8号）,http://www.gz.gov.cn/xw/tzgg/content/post_5746398.html,3/26/2020,广州市新型冠状病毒肺炎疫情防控指挥部
7,广州市疫情防控重点保障企业优惠贷款贴息申报指引,http://www.gz.gov.cn/xw/tzgg/content/post_5751621.html,3/31/2020,广州市财政局
6,广州市住房和城乡建设局关于新冠肺炎防疫期间支持房地产中介行业复工复产的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5759200.html,4/3/2020,广州市住房和城乡建设局
10,广州市卫生健康委关于印发广州市加强新冠肺炎疫情防控巩固期社会心理疏导和救援工作方案的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5758894.html,4/3/2020,广州市卫生健康委员会
9,广州市卫生健康委转发广东省新冠肺炎防控指挥办疫情防控组关于印发应对新冠肺炎疫情心理疏导专家共识的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5758900.html,4/3/2020,广州市卫生健康委员会
8,关于公开征求对2020年万户居民调查选题意见的公告,http://www.gz.gov.cn/xw/tzgg/content/post_5758496.html,4/3/2020,广州市统计局
4,广州市教育局关于进一步做好民办幼儿园、低收费义务教育阶段民办学校和教育培训机构帮扶工作的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5765265.html,4/8/2020,广州市教育局
15,广州市中小客车指标调控管理办公室关于临时放宽部分中小客车增量指标申请条件有关事宜的通告,http://www.gz.gov.cn/xw/tzgg/content/post_5786909.html,4/10/2020,市交通运输局
5,广州市商务局关于印发广州市境外企业和项目新冠肺炎疫情防控工作指引的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5792816.html,4/15/2020,广州市商务局
1,关于延长我市非营利组织免税资格复审申请期限的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5805637.html,4/24/2020,广州市财政局
0,广州市疫情防控重点保障企业优惠贷款贴息申报补充指引,http://www.gz.gov.cn/xw/tzgg/content/post_5805665.html,4/24/2020,广州市财政局
3,广州市商务局关于印发商业服务企业新常态下做好疫情防控工作指引的通知,http://www.gz.gov.cn/xw/tzgg/content/post_5807650.html,4/26/2020,广州市商务局
2,关于广州市2020年城镇国有建设用地标定地价更新成果听证会的公告,http://www.gz.gov.cn/xw/tzgg/content/post_5812109.html,4/29/2020,广州市规划和自然资源局
